symbol,tag,trades,win_rate,profit_factor,expectancy_r,net_pnl,max_dd_pct,final_equity,params
EURUSD=X,baseline:fabris_ntz,34,50.0,0.965,0.169,-57.54,5.23,9942.46,
EURUSD=X,baseline:breakout_adx,79,48.1,0.545,-0.038,-2080.27,20.8,7919.73,
EURUSD=X,baseline:aziz_orb,81,41.98,0.697,0.259,-2016.73,21.03,7983.27,
EURUSD=X,baseline:book_optimal,44,31.82,0.454,-0.115,-1767.11,18.92,8232.89,
EURUSD=X,search:book_optimal,44,36.36,0.32,-0.182,-2048.35,21.11,7951.65,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,41,41.46,0.452,-0.075,-1331.37,14.97,8668.63,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,48,39.58,0.388,-0.114,-1892.21,19.56,8107.79,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,45,42.22,0.453,-0.069,-1475.93,16.97,8524.07,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,48,41.67,0.457,-0.072,-1584.06,16.5,8415.94,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,45,42.22,0.488,-0.055,-1358.9,14.29,8641.1,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,34,32.35,0.275,-0.227,-1673.92,16.79,8326.08,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,31,32.26,0.298,-0.216,-1414.28,14.21,8585.72,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,33,36.36,0.343,-0.142,-1364.75,13.85,8635.25,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,31,32.26,0.305,-0.216,-1409.95,14.33,8590.05,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,32,34.38,0.337,-0.178,-1346.17,13.46,8653.83,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,30,33.33,0.339,-0.19,-1248.38,12.51,8751.62,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,46,39.13,0.348,-0.131,-1951.66,20.39,8048.34,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,42,40.48,0.42,-0.097,-1456.11,15.25,8543.89,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,50,42.0,0.418,-0.069,-1796.44,18.86,8203.56,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,46,41.3,0.432,-0.089,-1578.57,16.47,8421.43,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,50,44.0,0.491,-0.029,-1487.57,15.8,8512.43,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,46,43.48,0.514,-0.032,-1286.5,13.57,8713.5,"{'min_rr': 1.0, 'book_min_triggers': 1, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
