timeframe,box_bars,box_max_atr,adx_min,min_rr,target_mode,allow_range,score,dev_start_utc,dev_end_utc,dev_span_days,dev_trades,dev_trades_per_day,dev_win_rate,dev_win_ci_low,dev_win_ci_high,dev_expectancy_r,dev_profit_factor,dev_max_drawdown_pct,dev_start_equity,dev_end_equity,dev_net_pnl,dev_profit_per_day,dev_halt_reason,dev_ambiguous_exits,dev_skipped_entries,dev_per_symbol_pnl,val_start_utc,val_end_utc,val_span_days,val_trades,val_trades_per_day,val_win_rate,val_win_ci_low,val_win_ci_high,val_expectancy_r,val_profit_factor,val_max_drawdown_pct,val_start_equity,val_end_equity,val_net_pnl,val_profit_per_day,val_halt_reason,val_ambiguous_exits,val_skipped_entries,val_per_symbol_pnl
5m,3,1.5,12,0.1,opposite,False,-179.35207669525747,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,86,1.7414047669268087,44.18604651162791,34.16256631747516,54.706732537398295,-0.6183533735203264,0.37702301133334265,24.869629177365695,100.0,75.17976134572774,-24.820238654272256,-0.5025823477768692,max_positions,0,"{""gross_leverage"": 6, ""max_positions"": 14, ""sized_down"": 86}","{""AUDUSD=X"": -6.564019, ""EURUSD=X"": -4.309585, ""GBPUSD=X"": -5.284587, ""NZDUSD=X"": -8.662047}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,19,1.204490424829408,26.31578947368421,11.806238339540162,48.791968441070644,-1.216808238748157,0.20253380081022548,11.947698489494705,100.0,88.45457344480903,-11.545426555190957,-0.7319134598051938,none,1,"{""gross_leverage"": 2, ""sized_down"": 20}","{""AUDUSD=X"": -5.877652, ""EURUSD=X"": -1.078241, ""GBPUSD=X"": -5.988883, ""NZDUSD=X"": 1.399348}"
5m,3,1.5,12,0.1,opposite,True,-173.732153466878,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,99,2.0046403712296983,42.42424242424242,33.1509474444057,52.26351518550282,-0.6253874653493569,0.32306119757636914,30.47398407135495,100.0,69.52601592864505,-30.473984071354987,-0.6170644317338281,max_drawdown 30.47%,0,"{""gross_leverage"": 7, ""max_drawdown"": 8801, ""max_positions"": 10, ""sized_down"": 99}","{""AUDUSD=X"": -10.054187, ""EURUSD=X"": -3.277567, ""GBPUSD=X"": -6.738946, ""NZDUSD=X"": -10.403284}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,24,1.5214615892581995,29.166666666666668,14.914460334164279,49.168063658709706,-1.1409718199883851,0.20520259115032943,13.46730849638958,100.0,86.92802101339629,-13.071978986603732,-0.8286880801544959,max_positions,1,"{""gross_leverage"": 2, ""max_positions"": 2, ""sized_down"": 25}","{""AUDUSD=X"": -5.296837, ""EURUSD=X"": -1.078241, ""GBPUSD=X"": -8.270244, ""NZDUSD=X"": 1.573343}"
5m,3,1.5,12,0.1,extension,False,-165.25547302248455,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,89,1.8021514448428602,40.44943820224719,30.853277331729135,50.835965421519404,-0.6066331958161393,0.33052411505289975,30.59219450948444,100.0,69.98671446016945,-30.013285539830573,-0.607735796630191,max_drawdown 30.59%,0,"{""gross_leverage"": 15, ""max_drawdown"": 22413, ""max_positions"": 14, ""sized_down"": 98}","{""AUDUSD=X"": -7.607956, ""EURUSD=X"": -4.64489, ""GBPUSD=X"": -6.235161, ""NZDUSD=X"": -11.525279}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,49,3.106317411402157,28.57142857142857,17.84943493972417,42.409149206100324,-0.9705471353330521,0.18832860229600565,24.050617564406238,100.0,75.94938243559376,-24.050617564406213,-1.5246704509242768,max_positions,1,"{""gross_leverage"": 8, ""max_positions"": 2, ""sized_down"": 55}","{""AUDUSD=X"": -9.085074, ""EURUSD=X"": -2.096035, ""GBPUSD=X"": -7.92732, ""NZDUSD=X"": -4.942188}"
5m,3,1.5,12,0.1,extension,True,-152.7683935175724,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,92,1.8628981227589116,43.47826086956522,33.811402829335854,53.66793808316979,-0.6174794059797446,0.34235293021422025,30.216192215961524,100.0,70.80338786959697,-29.196612130403064,-0.5911990644418255,max_drawdown 30.22%,0,"{""gross_leverage"": 22, ""max_drawdown"": 25889, ""max_positions"": 14, ""sized_down"": 105}","{""AUDUSD=X"": -12.595565, ""EURUSD=X"": -4.90279, ""GBPUSD=X"": -6.75888, ""NZDUSD=X"": -4.939376}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,70,4.437596302003081,37.142857142857146,26.770481600829648,48.85301518147193,-0.7881001916607361,0.21853835011409722,30.65526563491098,100.0,69.34473436508902,-30.655265634910936,-1.9433670488343275,max_drawdown 30.66%,0,"{""gross_leverage"": 9, ""max_drawdown"": 2977, ""max_positions"": 6, ""sized_down"": 77}","{""AUDUSD=X"": -13.309526, ""EURUSD=X"": -4.167587, ""GBPUSD=X"": -9.522781, ""NZDUSD=X"": -3.655371}"
5m,3,1.5,12,0.3,opposite,False,-179.35207669525747,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,86,1.7414047669268087,44.18604651162791,34.16256631747516,54.706732537398295,-0.6183533735203264,0.37702301133334265,24.869629177365695,100.0,75.17976134572774,-24.820238654272256,-0.5025823477768692,max_positions,0,"{""gross_leverage"": 6, ""max_positions"": 14, ""sized_down"": 86}","{""AUDUSD=X"": -6.564019, ""EURUSD=X"": -4.309585, ""GBPUSD=X"": -5.284587, ""NZDUSD=X"": -8.662047}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,19,1.204490424829408,26.31578947368421,11.806238339540162,48.791968441070644,-1.216808238748157,0.20253380081022548,11.947698489494705,100.0,88.45457344480903,-11.545426555190957,-0.7319134598051938,none,1,"{""gross_leverage"": 2, ""sized_down"": 20}","{""AUDUSD=X"": -5.877652, ""EURUSD=X"": -1.078241, ""GBPUSD=X"": -5.988883, ""NZDUSD=X"": 1.399348}"
5m,3,1.5,12,0.3,opposite,True,-173.732153466878,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,99,2.0046403712296983,42.42424242424242,33.1509474444057,52.26351518550282,-0.6253874653493569,0.32306119757636914,30.47398407135495,100.0,69.52601592864505,-30.473984071354987,-0.6170644317338281,max_drawdown 30.47%,0,"{""gross_leverage"": 7, ""max_drawdown"": 8801, ""max_positions"": 10, ""sized_down"": 99}","{""AUDUSD=X"": -10.054187, ""EURUSD=X"": -3.277567, ""GBPUSD=X"": -6.738946, ""NZDUSD=X"": -10.403284}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,24,1.5214615892581995,29.166666666666668,14.914460334164279,49.168063658709706,-1.1409718199883851,0.20520259115032943,13.46730849638958,100.0,86.92802101339629,-13.071978986603732,-0.8286880801544959,max_positions,1,"{""gross_leverage"": 2, ""max_positions"": 2, ""sized_down"": 25}","{""AUDUSD=X"": -5.296837, ""EURUSD=X"": -1.078241, ""GBPUSD=X"": -8.270244, ""NZDUSD=X"": 1.573343}"
5m,3,1.5,12,0.3,extension,False,-165.25547302248455,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,89,1.8021514448428602,40.44943820224719,30.853277331729135,50.835965421519404,-0.6066331958161393,0.33052411505289975,30.59219450948444,100.0,69.98671446016945,-30.013285539830573,-0.607735796630191,max_drawdown 30.59%,0,"{""gross_leverage"": 15, ""max_drawdown"": 22413, ""max_positions"": 14, ""sized_down"": 98}","{""AUDUSD=X"": -7.607956, ""EURUSD=X"": -4.64489, ""GBPUSD=X"": -6.235161, ""NZDUSD=X"": -11.525279}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,49,3.106317411402157,28.57142857142857,17.84943493972417,42.409149206100324,-0.9705471353330521,0.18832860229600565,24.050617564406238,100.0,75.94938243559376,-24.050617564406213,-1.5246704509242768,max_positions,1,"{""gross_leverage"": 8, ""max_positions"": 2, ""sized_down"": 55}","{""AUDUSD=X"": -9.085074, ""EURUSD=X"": -2.096035, ""GBPUSD=X"": -7.92732, ""NZDUSD=X"": -4.942188}"
5m,3,1.5,12,0.3,extension,True,-152.7683935175724,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,92,1.8628981227589116,43.47826086956522,33.811402829335854,53.66793808316979,-0.6174794059797446,0.34235293021422025,30.216192215961524,100.0,70.80338786959697,-29.196612130403064,-0.5911990644418255,max_drawdown 30.22%,0,"{""gross_leverage"": 22, ""max_drawdown"": 25889, ""max_positions"": 14, ""sized_down"": 105}","{""AUDUSD=X"": -12.595565, ""EURUSD=X"": -4.90279, ""GBPUSD=X"": -6.75888, ""NZDUSD=X"": -4.939376}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,70,4.437596302003081,37.142857142857146,26.770481600829648,48.85301518147193,-0.7881001916607361,0.21853835011409722,30.65526563491098,100.0,69.34473436508902,-30.655265634910936,-1.9433670488343275,max_drawdown 30.66%,0,"{""gross_leverage"": 9, ""max_drawdown"": 2977, ""max_positions"": 6, ""sized_down"": 77}","{""AUDUSD=X"": -13.309526, ""EURUSD=X"": -4.167587, ""GBPUSD=X"": -9.522781, ""NZDUSD=X"": -3.655371}"
5m,3,1.5,20,0.1,opposite,False,-174.94532715097884,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,76,1.5389158405399705,43.42105263157895,32.8607524831996,54.61444841457801,-0.6650766618737775,0.3629555481021245,23.111481159413742,100.0,76.9379093636797,-23.062090636320296,-0.46698179731844514,max_positions,0,"{""gross_leverage"": 6, ""max_positions"": 14, ""sized_down"": 77}","{""AUDUSD=X"": -6.319779, ""EURUSD=X"": -3.640593, ""GBPUSD=X"": -4.409831, ""NZDUSD=X"": -8.691887}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,17,1.0777019590578913,29.411764705882355,13.279793865556403,53.13353332621391,-1.1826444327632786,0.24080258609865732,9.657349573975948,100.0,90.75538594927062,-9.244614050729348,-0.5860552160708898,none,1,"{""gross_leverage"": 1, ""sized_down"": 17}","{""AUDUSD=X"": -3.202533, ""EURUSD=X"": -1.078241, ""GBPUSD=X"": -6.363189, ""NZDUSD=X"": 1.399348}"
5m,3,1.5,20,0.1,opposite,True,-174.10654698265515,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,100,2.024889263868382,43.0,33.733139000528375,52.784788304135645,-0.5933705752830063,0.3343985510205745,30.698596953833103,100.0,69.3014030461669,-30.69859695383312,-0.6216125938763931,max_drawdown 30.70%,0,"{""gross_leverage"": 9, ""max_drawdown"": 11085, ""max_positions"": 10, ""sized_down"": 102}","{""AUDUSD=X"": -11.542752, ""EURUSD=X"": -2.667958, ""GBPUSD=X"": -8.00209, ""NZDUSD=X"": -8.485797}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,29,1.838432753686991,27.586206896551722,14.69858133850274,45.71747634443597,-1.1277119170813699,0.20010794724012038,16.130080593056107,100.0,84.25308389135779,-15.746916108642228,-0.9982636670237645,none,1,"{""gross_leverage"": 3, ""sized_down"": 31}","{""AUDUSD=X"": -4.889375, ""EURUSD=X"": -1.078241, ""GBPUSD=X"": -8.260175, ""NZDUSD=X"": -1.519125}"
5m,3,1.5,20,0.1,extension,False,-155.13042545176563,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,85,1.721155874288125,40.0,30.236068121692405,50.62875196259243,-0.5786547801513421,0.31217711766576395,30.025899730221674,100.0,70.32748857498285,-29.672511425017174,-0.6008354981652919,max_drawdown 30.03%,0,"{""gross_leverage"": 14, ""max_drawdown"": 19313, ""max_positions"": 14, ""sized_down"": 94}","{""AUDUSD=X"": -7.519268, ""EURUSD=X"": -5.70247, ""GBPUSD=X"": -5.746999, ""NZDUSD=X"": -10.703775}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,40,2.5357693154303322,32.5,20.084316962661724,47.98254191110201,-0.8942036653241464,0.23658981769081036,17.188009260892926,100.0,82.86873115658709,-17.131268843412865,-1.0860236466878506,max_positions,1,"{""gross_leverage"": 6, ""max_positions"": 2, ""sized_down"": 44}","{""AUDUSD=X"": -5.620798, ""EURUSD=X"": -2.096035, ""GBPUSD=X"": -8.065023, ""NZDUSD=X"": -1.349412}"
5m,3,1.5,20,0.1,extension,True,-149.78903485084828,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,89,1.8021514448428602,41.57303370786517,31.890364654807502,51.95308483335298,-0.6504759604969755,0.34651224309420964,30.102611545023294,100.0,70.91862801705089,-29.081371982949143,-0.5888655790683649,max_drawdown 30.10%,0,"{""gross_leverage"": 22, ""max_drawdown"": 28021, ""max_positions"": 14, ""sized_down"": 100}","{""AUDUSD=X"": -12.038132, ""EURUSD=X"": -4.926366, ""GBPUSD=X"": -8.276378, ""NZDUSD=X"": -3.840496}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,63,3.9938366718027734,36.507936507936506,25.715218473434465,48.85151840898606,-0.7475113634407169,0.1939642031528388,30.518483311618212,100.0,69.48151668838179,-30.51848331161817,-1.9346958383768507,max_drawdown 30.52%,0,"{""daily_loss"": 344, ""gross_leverage"": 6, ""max_drawdown"": 6317, ""max_positions"": 8, ""sized_down"": 65}","{""AUDUSD=X"": -12.241997, ""EURUSD=X"": -3.65869, ""GBPUSD=X"": -9.762501, ""NZDUSD=X"": -4.855295}"
5m,3,1.5,20,0.3,opposite,False,-174.94532715097884,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,76,1.5389158405399705,43.42105263157895,32.8607524831996,54.61444841457801,-0.6650766618737775,0.3629555481021245,23.111481159413742,100.0,76.9379093636797,-23.062090636320296,-0.46698179731844514,max_positions,0,"{""gross_leverage"": 6, ""max_positions"": 14, ""sized_down"": 77}","{""AUDUSD=X"": -6.319779, ""EURUSD=X"": -3.640593, ""GBPUSD=X"": -4.409831, ""NZDUSD=X"": -8.691887}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,17,1.0777019590578913,29.411764705882355,13.279793865556403,53.13353332621391,-1.1826444327632786,0.24080258609865732,9.657349573975948,100.0,90.75538594927062,-9.244614050729348,-0.5860552160708898,none,1,"{""gross_leverage"": 1, ""sized_down"": 17}","{""AUDUSD=X"": -3.202533, ""EURUSD=X"": -1.078241, ""GBPUSD=X"": -6.363189, ""NZDUSD=X"": 1.399348}"
