time,open,high,low,close,volume
2026-08-13 18:16:00+00:00,0.57336,0.57341,0.57334,0.57339,94
2026-08-13 18:17:00+00:00,0.57339,0.57343,0.57336,0.57339,74
2026-08-13 18:18:00+00:00,0.57339,0.57341,0.57332,0.57332,90
2026-08-13 18:19:00+00:00,0.57333,0.57333,0.57327,0.5733,92
2026-08-13 18:20:00+00:00,0.5733,0.57334,0.57328,0.5733,84
2026-08-13 18:21:00+00:00,0.5733,0.57334,0.57328,0.57329,90
2026-08-13 18:22:00+00:00,0.57329,0.57333,0.57324,0.57333,102
2026-08-13 18:23:00+00:00,0.57333,0.57337,0.5733,0.57333,86
2026-08-13 18:24:00+00:00,0.57334,0.57338,0.5733,0.57332,111
2026-08-13 18:25:00+00:00,0.57332,0.57341,0.57329,0.57341,74
2026-08-13 18:26:00+00:00,0.57341,0.57345,0.57337,0.57343,65
2026-08-13 18:27:00+00:00,0.57343,0.5735,0.57343,0.57348,120
2026-08-13 18:28:00+00:00,0.57348,0.5735,0.57335,0.57337,168
2026-08-13 18:29:00+00:00,0.57337,0.57344,0.57336,0.57341,213
2026-08-13 18:30:00+00:00,0.57341,0.57347,0.57337,0.57345,98
2026-08-13 18:31:00+00:00,0.57345,0.57347,0.57339,0.57339,91
2026-08-13 18:32:00+00:00,0.57339,0.57343,0.57337,0.57338,73
2026-08-13 18:33:00+00:00,0.57338,0.57342,0.57337,0.57337,86
2026-08-13 18:34:00+00:00,0.57337,0.57345,0.57337,0.57345,98
2026-08-13 18:35:00+00:00,0.57345,0.57349,0.57342,0.57345,107
2026-08-13 18:36:00+00:00,0.57345,0.57346,0.57337,0.57339,99
2026-08-13 18:37:00+00:00,0.57339,0.57343,0.57338,0.57338,110
2026-08-13 18:38:00+00:00,0.57338,0.57343,0.57338,0.5734,69
2026-08-13 18:39:00+00:00,0.5734,0.57346,0.5734,0.57344,74
2026-08-13 18:40:00+00:00,0.57345,0.57349,0.57342,0.57345,86
2026-08-13 18:41:00+00:00,0.57345,0.57352,0.57345,0.57352,58
2026-08-13 18:42:00+00:00,0.57352,0.57361,0.5735,0.57359,88
2026-08-13 18:43:00+00:00,0.57359,0.57359,0.57355,0.57355,82
2026-08-13 18:44:00+00:00,0.57355,0.57359,0.57354,0.57358,60
2026-08-13 18:45:00+00:00,0.57358,0.57358,0.57351,0.57357,73
2026-08-13 18:46:00+00:00,0.57357,0.5736,0.57355,0.57358,62
2026-08-13 18:47:00+00:00,0.57358,0.5736,0.57355,0.57358,67
2026-08-13 18:48:00+00:00,0.57358,0.5736,0.57354,0.57356,67
2026-08-13 18:49:00+00:00,0.57356,0.57357,0.57352,0.57355,64
2026-08-13 18:50:00+00:00,0.57355,0.57363,0.57354,0.57359,97
2026-08-13 18:51:00+00:00,0.57359,0.57362,0.57356,0.57359,63
2026-08-13 18:52:00+00:00,0.57359,0.57365,0.57356,0.57365,55
2026-08-13 18:53:00+00:00,0.57365,0.57372,0.57363,0.5737,59
2026-08-13 18:54:00+00:00,0.5737,0.57372,0.57368,0.57372,37
2026-08-13 18:55:00+00:00,0.57372,0.57372,0.57368,0.57371,70
2026-08-13 18:56:00+00:00,0.57371,0.57375,0.57368,0.57375,79
2026-08-13 18:57:00+00:00,0.57375,0.57377,0.57372,0.57373,66
2026-08-13 18:58:00+00:00,0.57373,0.57374,0.57369,0.57372,61
2026-08-13 18:59:00+00:00,0.57372,0.57373,0.57369,0.57371,68
2026-08-13 19:00:00+00:00,0.57371,0.57376,0.5737,0.57376,64
2026-08-13 19:01:00+00:00,0.57376,0.57377,0.57373,0.57377,72
2026-08-13 19:02:00+00:00,0.57377,0.57378,0.57375,0.57377,51
2026-08-13 19:03:00+00:00,0.57377,0.57378,0.57374,0.57376,57
2026-08-13 19:04:00+00:00,0.57376,0.57377,0.57369,0.57374,71
2026-08-13 19:05:00+00:00,0.57374,0.57385,0.57374,0.57384,62
2026-08-13 19:06:00+00:00,0.57384,0.57385,0.57378,0.5738,29
2026-08-13 19:07:00+00:00,0.5738,0.57381,0.57376,0.57379,42
2026-08-13 19:08:00+00:00,0.57379,0.57381,0.57375,0.57376,26
2026-08-13 19:09:00+00:00,0.57376,0.57381,0.57375,0.57381,76
2026-08-13 19:10:00+00:00,0.57381,0.57383,0.57379,0.57381,88
2026-08-13 19:11:00+00:00,0.57381,0.57382,0.57377,0.57378,56
2026-08-13 19:12:00+00:00,0.57378,0.57386,0.57378,0.57382,65
2026-08-13 19:13:00+00:00,0.57382,0.57387,0.57381,0.57385,56
2026-08-13 19:14:00+00:00,0.57385,0.57385,0.57381,0.57381,60
2026-08-13 19:15:00+00:00,0.57381,0.57383,0.57379,0.57379,56
2026-08-13 19:16:00+00:00,0.57379,0.57382,0.57377,0.57382,55
2026-08-13 19:17:00+00:00,0.57382,0.57383,0.57379,0.57382,51
2026-08-13 19:18:00+00:00,0.57382,0.57385,0.57382,0.57385,28
