time,open,high,low,close,volume
2026-08-13 18:14:00+00:00,114.275,114.291,114.272,114.281,140
2026-08-13 18:15:00+00:00,114.281,114.294,114.281,114.29,127
2026-08-13 18:16:00+00:00,114.29,114.298,114.279,114.28,112
2026-08-13 18:17:00+00:00,114.28,114.282,114.271,114.273,117
2026-08-13 18:18:00+00:00,114.273,114.282,114.271,114.272,89
2026-08-13 18:19:00+00:00,114.272,114.279,114.267,114.273,123
2026-08-13 18:20:00+00:00,114.273,114.29,114.271,114.28,157
2026-08-13 18:21:00+00:00,114.28,114.283,114.274,114.279,121
2026-08-13 18:22:00+00:00,114.279,114.292,114.269,114.292,148
2026-08-13 18:23:00+00:00,114.292,114.302,114.289,114.299,146
2026-08-13 18:24:00+00:00,114.299,114.304,114.284,114.29,131
2026-08-13 18:25:00+00:00,114.29,114.299,114.285,114.298,136
2026-08-13 18:26:00+00:00,114.298,114.304,114.297,114.302,115
2026-08-13 18:27:00+00:00,114.302,114.313,114.301,114.306,140
2026-08-13 18:28:00+00:00,114.306,114.32,114.304,114.306,259
2026-08-13 18:29:00+00:00,114.306,114.33,114.306,114.329,203
2026-08-13 18:30:00+00:00,114.329,114.343,114.315,114.323,158
2026-08-13 18:31:00+00:00,114.323,114.324,114.31,114.312,88
2026-08-13 18:32:00+00:00,114.312,114.316,114.31,114.31,52
2026-08-13 18:33:00+00:00,114.31,114.323,114.305,114.32,90
2026-08-13 18:34:00+00:00,114.32,114.322,114.31,114.313,105
2026-08-13 18:35:00+00:00,114.313,114.322,114.291,114.292,155
2026-08-13 18:36:00+00:00,114.292,114.303,114.289,114.292,106
2026-08-13 18:37:00+00:00,114.293,114.313,114.292,114.295,145
2026-08-13 18:38:00+00:00,114.295,114.306,114.294,114.303,98
2026-08-13 18:39:00+00:00,114.303,114.311,114.298,114.304,98
2026-08-13 18:40:00+00:00,114.304,114.312,114.296,114.309,127
2026-08-13 18:41:00+00:00,114.309,114.327,114.309,114.325,90
2026-08-13 18:42:00+00:00,114.325,114.331,114.321,114.322,149
2026-08-13 18:43:00+00:00,114.322,114.328,114.32,114.327,93
2026-08-13 18:44:00+00:00,114.327,114.33,114.323,114.329,61
2026-08-13 18:45:00+00:00,114.33,114.338,114.33,114.334,90
2026-08-13 18:46:00+00:00,114.334,114.335,114.327,114.328,63
2026-08-13 18:47:00+00:00,114.328,114.331,114.323,114.323,60
2026-08-13 18:48:00+00:00,114.323,114.331,114.322,114.331,93
2026-08-13 18:49:00+00:00,114.331,114.331,114.321,114.328,76
2026-08-13 18:50:00+00:00,114.328,114.34,114.327,114.336,123
2026-08-13 18:51:00+00:00,114.336,114.345,114.336,114.345,63
2026-08-13 18:52:00+00:00,114.345,114.35,114.339,114.347,110
2026-08-13 18:53:00+00:00,114.347,114.355,114.345,114.347,116
2026-08-13 18:54:00+00:00,114.347,114.348,114.338,114.339,88
2026-08-13 18:55:00+00:00,114.339,114.34,114.332,114.337,122
2026-08-13 18:56:00+00:00,114.337,114.342,114.332,114.342,83
2026-08-13 18:57:00+00:00,114.342,114.353,114.339,114.343,135
2026-08-13 18:58:00+00:00,114.343,114.346,114.34,114.345,118
2026-08-13 18:59:00+00:00,114.345,114.348,114.342,114.346,58
2026-08-13 19:00:00+00:00,114.346,114.349,114.345,114.349,36
2026-08-13 19:01:00+00:00,114.349,114.358,114.349,114.355,74
2026-08-13 19:02:00+00:00,114.355,114.355,114.344,114.352,73
2026-08-13 19:03:00+00:00,114.352,114.356,114.351,114.353,52
2026-08-13 19:04:00+00:00,114.352,114.356,114.34,114.354,49
2026-08-13 19:05:00+00:00,114.354,114.36,114.354,114.357,18
2026-08-13 19:06:00+00:00,114.357,114.361,114.353,114.355,51
2026-08-13 19:07:00+00:00,114.355,114.358,114.351,114.352,47
2026-08-13 19:08:00+00:00,114.352,114.356,114.349,114.354,50
2026-08-13 19:09:00+00:00,114.354,114.356,114.349,114.353,71
2026-08-13 19:10:00+00:00,114.353,114.361,114.352,114.358,71
2026-08-13 19:11:00+00:00,114.358,114.367,114.356,114.367,46
2026-08-13 19:12:00+00:00,114.367,114.381,114.365,114.37,100
2026-08-13 19:13:00+00:00,114.37,114.381,114.369,114.379,69
2026-08-13 19:14:00+00:00,114.379,114.389,114.379,114.386,77
2026-08-13 19:15:00+00:00,114.386,114.39,114.384,114.386,62
2026-08-13 19:16:00+00:00,114.386,114.392,114.385,114.387,62
2026-08-13 19:17:00+00:00,114.387,114.394,114.387,114.394,39
2026-08-13 19:18:00+00:00,114.394,114.396,114.382,114.382,34
2026-08-13 19:19:00+00:00,114.382,114.384,114.373,114.384,70
2026-08-13 19:20:00+00:00,114.384,114.389,114.379,114.384,72
2026-08-13 19:21:00+00:00,114.384,114.404,114.382,114.403,60
2026-08-13 19:22:00+00:00,114.403,114.412,114.401,114.408,67
2026-08-13 19:23:00+00:00,114.408,114.422,114.407,114.422,79
2026-08-13 19:24:00+00:00,114.421,114.426,114.418,114.422,68
2026-08-13 19:25:00+00:00,114.422,114.433,114.418,114.433,52
2026-08-13 19:26:00+00:00,114.433,114.437,114.43,114.435,48
2026-08-13 19:27:00+00:00,114.435,114.445,114.435,114.444,32
2026-08-13 19:28:00+00:00,114.444,114.444,114.44,114.443,47
2026-08-13 19:29:00+00:00,114.443,114.465,114.442,114.464,76
2026-08-13 19:30:00+00:00,114.464,114.47,114.46,114.466,76
2026-08-13 19:31:00+00:00,114.466,114.475,114.466,114.475,56
2026-08-13 19:32:00+00:00,114.475,114.478,114.466,114.466,72
2026-08-13 19:33:00+00:00,114.466,114.467,114.462,114.462,48
2026-08-13 19:34:00+00:00,114.462,114.464,114.446,114.448,50
2026-08-13 19:35:00+00:00,114.448,114.466,114.446,114.461,77
2026-08-13 19:36:00+00:00,114.461,114.468,114.46,114.467,47
2026-08-13 19:37:00+00:00,114.467,114.475,114.465,114.466,52
2026-08-13 19:38:00+00:00,114.466,114.471,114.463,114.466,48
2026-08-13 19:39:00+00:00,114.466,114.468,114.461,114.467,39
2026-08-13 19:40:00+00:00,114.467,114.467,114.456,114.457,28
2026-08-13 19:41:00+00:00,114.457,114.461,114.457,114.461,41
2026-08-13 19:42:00+00:00,114.461,114.467,114.458,114.462,50
2026-08-13 19:43:00+00:00,114.462,114.464,114.454,114.463,88
2026-08-13 19:44:00+00:00,114.463,114.476,114.463,114.467,68
2026-08-13 19:45:00+00:00,114.467,114.472,114.465,114.47,36
2026-08-13 19:46:00+00:00,114.47,114.471,114.464,114.466,47
2026-08-13 19:47:00+00:00,114.466,114.467,114.458,114.46,41
2026-08-13 19:48:00+00:00,114.46,114.481,114.46,114.481,46
2026-08-13 19:49:00+00:00,114.481,114.482,114.476,114.476,18
2026-08-13 19:50:00+00:00,114.476,114.48,114.473,114.475,32
2026-08-13 19:51:00+00:00,114.475,114.484,114.475,114.479,36
2026-08-13 19:52:00+00:00,114.479,114.484,114.479,114.48,31
2026-08-13 19:53:00+00:00,114.48,114.488,114.48,114.484,48
2026-08-13 19:54:00+00:00,114.484,114.491,114.484,114.489,37
2026-08-13 19:55:00+00:00,114.489,114.489,114.481,114.484,45
2026-08-13 19:56:00+00:00,114.484,114.492,114.484,114.491,34
2026-08-13 19:57:00+00:00,114.491,114.492,114.48,114.488,58
2026-08-13 19:58:00+00:00,114.488,114.492,114.482,114.486,61
2026-08-13 19:59:00+00:00,114.486,114.492,114.483,114.485,50
2026-08-13 20:00:00+00:00,114.486,114.499,114.483,114.494,59
2026-08-13 20:01:00+00:00,114.494,114.5,114.489,114.49,74
2026-08-13 20:02:00+00:00,114.49,114.494,114.477,114.477,54
2026-08-13 20:03:00+00:00,114.477,114.481,114.476,114.48,48
2026-08-13 20:04:00+00:00,114.48,114.484,114.475,114.476,59
2026-08-13 20:05:00+00:00,114.476,114.491,114.476,114.486,86
2026-08-13 20:06:00+00:00,114.486,114.494,114.484,114.484,44
2026-08-13 20:07:00+00:00,114.484,114.501,114.483,114.496,66
2026-08-13 20:08:00+00:00,114.496,114.498,114.493,114.496,54
2026-08-13 20:09:00+00:00,114.496,114.499,114.495,114.497,37
2026-08-13 20:10:00+00:00,114.497,114.505,114.49,114.49,65
2026-08-13 20:11:00+00:00,114.49,114.496,114.488,114.493,36
2026-08-13 20:12:00+00:00,114.493,114.497,114.489,114.493,60
2026-08-13 20:13:00+00:00,114.493,114.502,114.493,114.498,49
2026-08-13 20:14:00+00:00,114.498,114.499,114.494,114.496,32
2026-08-13 20:15:00+00:00,114.496,114.508,114.496,114.502,50
2026-08-13 20:16:00+00:00,114.502,114.503,114.489,114.491,68
2026-08-13 20:17:00+00:00,114.491,114.493,114.487,114.489,18
2026-08-13 20:18:00+00:00,114.489,114.491,114.485,114.491,38
2026-08-13 20:19:00+00:00,114.491,114.494,114.488,114.489,40
2026-08-13 20:20:00+00:00,114.489,114.489,114.478,114.481,62
2026-08-13 20:21:00+00:00,114.481,114.485,114.474,114.482,61
2026-08-13 20:22:00+00:00,114.482,114.483,114.476,114.477,26
2026-08-13 20:23:00+00:00,114.478,114.479,114.472,114.477,36
2026-08-13 20:24:00+00:00,114.477,114.478,114.47,114.471,25
2026-08-13 20:25:00+00:00,114.471,114.477,114.468,114.469,59
2026-08-13 20:26:00+00:00,114.469,114.474,114.469,114.471,45
2026-08-13 20:27:00+00:00,114.471,114.473,114.467,114.468,35
2026-08-13 20:28:00+00:00,114.468,114.471,114.463,114.469,63
2026-08-13 20:29:00+00:00,114.467,114.473,114.467,114.47,43
2026-08-13 20:30:00+00:00,114.47,114.499,114.47,114.496,137
2026-08-13 20:31:00+00:00,114.496,114.506,114.493,114.494,90
2026-08-13 20:32:00+00:00,114.494,114.504,114.488,114.496,53
2026-08-13 20:33:00+00:00,114.496,114.496,114.479,114.479,53
2026-08-13 20:34:00+00:00,114.479,114.494,114.478,114.492,71
2026-08-13 20:35:00+00:00,114.492,114.497,114.486,114.488,37
2026-08-13 20:36:00+00:00,114.488,114.489,114.484,114.487,48
2026-08-13 20:37:00+00:00,114.487,114.489,114.482,114.484,39
