time,open,high,low,close,volume
2026-08-13 18:15:00+00:00,93.199,93.204,93.196,93.197,190
2026-08-13 18:16:00+00:00,93.198,93.205,93.194,93.199,141
2026-08-13 18:17:00+00:00,93.199,93.2,93.184,93.185,103
2026-08-13 18:18:00+00:00,93.185,93.189,93.171,93.173,155
2026-08-13 18:19:00+00:00,93.173,93.183,93.166,93.18,201
2026-08-13 18:20:00+00:00,93.18,93.191,93.18,93.185,202
2026-08-13 18:21:00+00:00,93.185,93.193,93.182,93.189,156
2026-08-13 18:22:00+00:00,93.189,93.199,93.189,93.197,181
2026-08-13 18:23:00+00:00,93.197,93.206,93.195,93.204,172
2026-08-13 18:24:00+00:00,93.204,93.207,93.191,93.196,167
2026-08-13 18:25:00+00:00,93.196,93.201,93.193,93.196,161
2026-08-13 18:26:00+00:00,93.196,93.213,93.194,93.211,163
2026-08-13 18:27:00+00:00,93.211,93.221,93.21,93.211,186
2026-08-13 18:28:00+00:00,93.211,93.217,93.183,93.185,417
2026-08-13 18:29:00+00:00,93.184,93.199,93.184,93.194,360
2026-08-13 18:30:00+00:00,93.194,93.205,93.184,93.199,451
2026-08-13 18:31:00+00:00,93.2,93.202,93.191,93.196,252
2026-08-13 18:32:00+00:00,93.196,93.202,93.19,93.191,124
2026-08-13 18:33:00+00:00,93.191,93.201,93.185,93.197,205
2026-08-13 18:34:00+00:00,93.195,93.199,93.184,93.186,209
2026-08-13 18:35:00+00:00,93.186,93.202,93.176,93.177,227
2026-08-13 18:36:00+00:00,93.177,93.182,93.17,93.173,196
2026-08-13 18:37:00+00:00,93.173,93.181,93.169,93.17,182
2026-08-13 18:38:00+00:00,93.171,93.18,93.17,93.178,119
2026-08-13 18:39:00+00:00,93.178,93.19,93.178,93.187,137
2026-08-13 18:40:00+00:00,93.187,93.197,93.184,93.19,146
2026-08-13 18:41:00+00:00,93.19,93.205,93.188,93.204,148
2026-08-13 18:42:00+00:00,93.204,93.212,93.194,93.195,201
2026-08-13 18:43:00+00:00,93.195,93.198,93.187,93.189,148
2026-08-13 18:44:00+00:00,93.189,93.191,93.184,93.187,70
2026-08-13 18:45:00+00:00,93.187,93.193,93.186,93.186,75
2026-08-13 18:46:00+00:00,93.186,93.186,93.176,93.181,108
2026-08-13 18:47:00+00:00,93.181,93.184,93.178,93.184,72
2026-08-13 18:48:00+00:00,93.184,93.187,93.175,93.179,98
2026-08-13 18:49:00+00:00,93.179,93.186,93.177,93.183,116
2026-08-13 18:50:00+00:00,93.183,93.184,93.17,93.172,160
2026-08-13 18:51:00+00:00,93.172,93.179,93.172,93.177,129
2026-08-13 18:52:00+00:00,93.177,93.183,93.168,93.181,188
2026-08-13 18:53:00+00:00,93.181,93.187,93.179,93.18,146
2026-08-13 18:54:00+00:00,93.18,93.182,93.169,93.17,109
2026-08-13 18:55:00+00:00,93.169,93.177,93.166,93.175,164
2026-08-13 18:56:00+00:00,93.175,93.181,93.171,93.177,145
2026-08-13 18:57:00+00:00,93.177,93.188,93.168,93.169,132
2026-08-13 18:58:00+00:00,93.17,93.172,93.167,93.169,147
2026-08-13 18:59:00+00:00,93.169,93.17,93.165,93.17,71
2026-08-13 19:00:00+00:00,93.17,93.177,93.168,93.177,149
2026-08-13 19:01:00+00:00,93.177,93.185,93.173,93.18,145
2026-08-13 19:02:00+00:00,93.18,93.187,93.174,93.185,165
2026-08-13 19:03:00+00:00,93.186,93.189,93.183,93.188,83
2026-08-13 19:04:00+00:00,93.187,93.19,93.183,93.189,123
2026-08-13 19:05:00+00:00,93.189,93.192,93.183,93.188,126
2026-08-13 19:06:00+00:00,93.188,93.191,93.185,93.185,170
2026-08-13 19:07:00+00:00,93.185,93.194,93.185,93.186,124
2026-08-13 19:08:00+00:00,93.186,93.188,93.18,93.181,63
2026-08-13 19:09:00+00:00,93.181,93.182,93.175,93.176,120
2026-08-13 19:10:00+00:00,93.176,93.184,93.174,93.182,129
2026-08-13 19:11:00+00:00,93.182,93.186,93.18,93.184,97
2026-08-13 19:12:00+00:00,93.183,93.195,93.178,93.18,244
2026-08-13 19:13:00+00:00,93.18,93.184,93.177,93.183,158
2026-08-13 19:14:00+00:00,93.183,93.187,93.179,93.186,169
2026-08-13 19:15:00+00:00,93.186,93.189,93.18,93.182,234
2026-08-13 19:16:00+00:00,93.181,93.191,93.18,93.187,157
2026-08-13 19:17:00+00:00,93.188,93.19,93.179,93.18,138
2026-08-13 19:18:00+00:00,93.179,93.181,93.174,93.175,64
2026-08-13 19:19:00+00:00,93.174,93.174,93.164,93.166,142
2026-08-13 19:20:00+00:00,93.166,93.17,93.163,93.164,111
2026-08-13 19:21:00+00:00,93.165,93.175,93.163,93.174,154
2026-08-13 19:22:00+00:00,93.174,93.176,93.167,93.173,145
2026-08-13 19:23:00+00:00,93.173,93.181,93.172,93.18,119
2026-08-13 19:24:00+00:00,93.18,93.19,93.177,93.187,145
2026-08-13 19:25:00+00:00,93.188,93.194,93.186,93.193,166
2026-08-13 19:26:00+00:00,93.193,93.2,93.19,93.193,143
2026-08-13 19:27:00+00:00,93.193,93.198,93.191,93.197,82
2026-08-13 19:28:00+00:00,93.197,93.205,93.196,93.204,137
2026-08-13 19:29:00+00:00,93.203,93.221,93.203,93.219,118
2026-08-13 19:30:00+00:00,93.22,93.231,93.219,93.223,113
2026-08-13 19:31:00+00:00,93.223,93.231,93.222,93.228,162
2026-08-13 19:32:00+00:00,93.228,93.237,93.228,93.233,101
2026-08-13 19:33:00+00:00,93.233,93.239,93.233,93.235,78
2026-08-13 19:34:00+00:00,93.235,93.237,93.228,93.228,86
2026-08-13 19:35:00+00:00,93.228,93.24,93.226,93.232,145
2026-08-13 19:36:00+00:00,93.232,93.239,93.23,93.238,90
2026-08-13 19:37:00+00:00,93.238,93.244,93.238,93.242,103
2026-08-13 19:38:00+00:00,93.242,93.245,93.238,93.241,170
2026-08-13 19:39:00+00:00,93.242,93.243,93.236,93.237,112
2026-08-13 19:40:00+00:00,93.237,93.239,93.234,93.236,68
2026-08-13 19:41:00+00:00,93.236,93.243,93.236,93.24,91
2026-08-13 19:42:00+00:00,93.24,93.247,93.237,93.242,160
2026-08-13 19:43:00+00:00,93.241,93.247,93.236,93.246,137
2026-08-13 19:44:00+00:00,93.246,93.255,93.246,93.25,120
2026-08-13 19:45:00+00:00,93.25,93.252,93.245,93.249,112
2026-08-13 19:46:00+00:00,93.249,93.25,93.244,93.246,168
2026-08-13 19:47:00+00:00,93.246,93.25,93.244,93.247,82
2026-08-13 19:48:00+00:00,93.246,93.251,93.245,93.251,97
2026-08-13 19:49:00+00:00,93.251,93.26,93.25,93.252,85
2026-08-13 19:50:00+00:00,93.252,93.266,93.252,93.266,119
2026-08-13 19:51:00+00:00,93.266,93.271,93.26,93.261,107
2026-08-13 19:52:00+00:00,93.262,93.264,93.258,93.261,76
2026-08-13 19:53:00+00:00,93.261,93.274,93.261,93.271,86
2026-08-13 19:54:00+00:00,93.271,93.276,93.269,93.273,76
2026-08-13 19:55:00+00:00,93.274,93.281,93.271,93.281,103
2026-08-13 19:56:00+00:00,93.281,93.287,93.278,93.284,62
2026-08-13 19:57:00+00:00,93.284,93.285,93.265,93.269,105
2026-08-13 19:58:00+00:00,93.266,93.27,93.26,93.261,104
2026-08-13 19:59:00+00:00,93.263,93.265,93.26,93.261,135
2026-08-13 20:00:00+00:00,93.261,93.28,93.26,93.276,193
2026-08-13 20:01:00+00:00,93.275,93.283,93.275,93.279,148
2026-08-13 20:02:00+00:00,93.279,93.291,93.279,93.281,181
2026-08-13 20:03:00+00:00,93.28,93.28,93.271,93.274,144
2026-08-13 20:04:00+00:00,93.274,93.279,93.265,93.268,116
2026-08-13 20:05:00+00:00,93.268,93.276,93.267,93.274,167
2026-08-13 20:06:00+00:00,93.275,93.277,93.268,93.268,143
2026-08-13 20:07:00+00:00,93.268,93.279,93.264,93.278,106
2026-08-13 20:08:00+00:00,93.278,93.285,93.275,93.277,147
2026-08-13 20:09:00+00:00,93.276,93.279,93.276,93.278,62
2026-08-13 20:10:00+00:00,93.278,93.281,93.268,93.269,115
2026-08-13 20:11:00+00:00,93.269,93.272,93.267,93.272,54
2026-08-13 20:12:00+00:00,93.272,93.273,93.264,93.27,104
2026-08-13 20:13:00+00:00,93.27,93.273,93.268,93.271,120
2026-08-13 20:14:00+00:00,93.271,93.272,93.266,93.266,80
2026-08-13 20:15:00+00:00,93.266,93.281,93.266,93.275,94
2026-08-13 20:16:00+00:00,93.275,93.279,93.272,93.273,140
2026-08-13 20:17:00+00:00,93.273,93.278,93.273,93.275,76
2026-08-13 20:18:00+00:00,93.275,93.278,93.274,93.276,66
2026-08-13 20:19:00+00:00,93.276,93.28,93.273,93.274,59
2026-08-13 20:20:00+00:00,93.274,93.275,93.267,93.27,100
2026-08-13 20:21:00+00:00,93.27,93.276,93.265,93.27,134
2026-08-13 20:22:00+00:00,93.27,93.271,93.265,93.267,68
2026-08-13 20:23:00+00:00,93.267,93.268,93.26,93.263,64
2026-08-13 20:24:00+00:00,93.263,93.27,93.261,93.261,88
2026-08-13 20:25:00+00:00,93.262,93.269,93.26,93.265,101
2026-08-13 20:26:00+00:00,93.265,93.266,93.253,93.254,108
2026-08-13 20:27:00+00:00,93.254,93.263,93.253,93.258,79
2026-08-13 20:28:00+00:00,93.258,93.258,93.246,93.253,136
2026-08-13 20:29:00+00:00,93.253,93.257,93.25,93.254,87
2026-08-13 20:30:00+00:00,93.254,93.275,93.254,93.272,225
