time,open,high,low,close,volume
2026-08-13 18:15:00+00:00,0.8122,0.81228,0.81214,0.81222,154
2026-08-13 18:16:00+00:00,0.81222,0.81229,0.81215,0.81216,108
2026-08-13 18:17:00+00:00,0.81216,0.81228,0.81215,0.81224,101
2026-08-13 18:18:00+00:00,0.81224,0.81239,0.81224,0.81237,122
2026-08-13 18:19:00+00:00,0.81237,0.81241,0.81229,0.8123,125
2026-08-13 18:20:00+00:00,0.81229,0.81241,0.81224,0.81229,113
2026-08-13 18:21:00+00:00,0.81229,0.81236,0.81224,0.81226,108
2026-08-13 18:22:00+00:00,0.81226,0.81226,0.81211,0.81217,131
2026-08-13 18:23:00+00:00,0.81217,0.81222,0.8121,0.81211,154
2026-08-13 18:24:00+00:00,0.81211,0.81214,0.81201,0.81203,175
2026-08-13 18:25:00+00:00,0.81203,0.81222,0.81198,0.8122,158
2026-08-13 18:26:00+00:00,0.8122,0.81222,0.81205,0.81211,132
2026-08-13 18:27:00+00:00,0.8121,0.81227,0.81207,0.81227,203
2026-08-13 18:28:00+00:00,0.81227,0.81252,0.81217,0.81248,285
2026-08-13 18:29:00+00:00,0.81248,0.81264,0.81243,0.81255,302
2026-08-13 18:30:00+00:00,0.81255,0.81268,0.8125,0.81258,186
2026-08-13 18:31:00+00:00,0.81258,0.81259,0.81243,0.81243,194
2026-08-13 18:32:00+00:00,0.81243,0.81256,0.81241,0.81249,130
2026-08-13 18:33:00+00:00,0.81249,0.81256,0.81243,0.81248,131
2026-08-13 18:34:00+00:00,0.81248,0.81266,0.81247,0.81266,140
2026-08-13 18:35:00+00:00,0.81266,0.81271,0.81258,0.81265,138
2026-08-13 18:36:00+00:00,0.81265,0.81267,0.81242,0.81248,95
2026-08-13 18:37:00+00:00,0.81248,0.81257,0.81247,0.81248,100
2026-08-13 18:38:00+00:00,0.81248,0.81251,0.81243,0.81244,95
2026-08-13 18:39:00+00:00,0.81244,0.81244,0.81235,0.81239,89
2026-08-13 18:40:00+00:00,0.81239,0.81243,0.81233,0.81238,113
2026-08-13 18:41:00+00:00,0.81238,0.81245,0.81238,0.81245,65
2026-08-13 18:42:00+00:00,0.81245,0.81262,0.81237,0.81258,120
2026-08-13 18:43:00+00:00,0.81258,0.81262,0.81254,0.81258,79
2026-08-13 18:44:00+00:00,0.81258,0.81266,0.81258,0.81265,122
2026-08-13 18:45:00+00:00,0.81264,0.81265,0.81248,0.81257,91
2026-08-13 18:46:00+00:00,0.81257,0.81264,0.81257,0.81258,77
2026-08-13 18:47:00+00:00,0.81258,0.81265,0.81256,0.81258,85
2026-08-13 18:48:00+00:00,0.81258,0.81268,0.81253,0.81263,128
2026-08-13 18:49:00+00:00,0.81263,0.81264,0.81253,0.81256,67
2026-08-13 18:50:00+00:00,0.81256,0.81277,0.81255,0.81271,110
2026-08-13 18:51:00+00:00,0.81271,0.81278,0.8127,0.81276,71
2026-08-13 18:52:00+00:00,0.81276,0.81291,0.81274,0.81284,82
2026-08-13 18:53:00+00:00,0.81284,0.81287,0.81279,0.81286,63
2026-08-13 18:54:00+00:00,0.81286,0.81295,0.81285,0.81294,87
2026-08-13 18:55:00+00:00,0.81294,0.81296,0.81287,0.81288,97
2026-08-13 18:56:00+00:00,0.81288,0.81296,0.81287,0.8129,116
2026-08-13 18:57:00+00:00,0.8129,0.81292,0.81285,0.81291,99
2026-08-13 18:58:00+00:00,0.81291,0.81301,0.8129,0.813,151
2026-08-13 18:59:00+00:00,0.813,0.81301,0.81295,0.81296,111
2026-08-13 19:00:00+00:00,0.81295,0.813,0.81292,0.81296,124
2026-08-13 19:01:00+00:00,0.81297,0.81304,0.81293,0.81303,122
2026-08-13 19:02:00+00:00,0.81303,0.81304,0.81294,0.81295,126
2026-08-13 19:03:00+00:00,0.81295,0.81298,0.81292,0.81293,87
2026-08-13 19:04:00+00:00,0.81293,0.81295,0.81286,0.81289,123
2026-08-13 19:05:00+00:00,0.81289,0.81307,0.81288,0.81304,80
2026-08-13 19:06:00+00:00,0.81304,0.81305,0.81294,0.81301,81
2026-08-13 19:07:00+00:00,0.81301,0.81301,0.81293,0.81299,75
2026-08-13 19:08:00+00:00,0.81299,0.81302,0.81293,0.81298,77
2026-08-13 19:09:00+00:00,0.81297,0.81316,0.81297,0.81315,102
2026-08-13 19:10:00+00:00,0.81315,0.81325,0.81315,0.81322,148
2026-08-13 19:11:00+00:00,0.81322,0.81322,0.81317,0.8132,120
2026-08-13 19:12:00+00:00,0.8132,0.81331,0.81315,0.81327,126
2026-08-13 19:13:00+00:00,0.81327,0.81341,0.81327,0.81338,144
2026-08-13 19:14:00+00:00,0.81338,0.81347,0.81336,0.81338,115
2026-08-13 19:15:00+00:00,0.81338,0.8134,0.81333,0.81338,131
2026-08-13 19:16:00+00:00,0.81338,0.8134,0.81331,0.81335,86
2026-08-13 19:17:00+00:00,0.81335,0.81339,0.8133,0.81339,99
2026-08-13 19:18:00+00:00,0.81339,0.81343,0.81339,0.81341,57
2026-08-13 19:19:00+00:00,0.81341,0.81359,0.8134,0.81359,106
2026-08-13 19:20:00+00:00,0.81359,0.81362,0.81354,0.81361,71
2026-08-13 19:21:00+00:00,0.81361,0.81366,0.81353,0.81357,68
2026-08-13 19:22:00+00:00,0.81357,0.81366,0.81355,0.81356,114
2026-08-13 19:23:00+00:00,0.81356,0.81362,0.81355,0.8136,57
2026-08-13 19:24:00+00:00,0.8136,0.81361,0.81339,0.81339,94
2026-08-13 19:25:00+00:00,0.81339,0.81344,0.81333,0.81341,93
2026-08-13 19:26:00+00:00,0.81341,0.81348,0.81332,0.81341,87
2026-08-13 19:27:00+00:00,0.81341,0.81341,0.81336,0.81339,58
2026-08-13 19:28:00+00:00,0.81339,0.8134,0.81336,0.81338,50
2026-08-13 19:29:00+00:00,0.81338,0.8134,0.81332,0.81336,97
2026-08-13 19:30:00+00:00,0.81336,0.8134,0.81332,0.81338,93
2026-08-13 19:31:00+00:00,0.81338,0.81346,0.81334,0.81343,82
2026-08-13 19:32:00+00:00,0.81343,0.81343,0.81332,0.81332,91
2026-08-13 19:33:00+00:00,0.81332,0.81336,0.81327,0.81335,91
2026-08-13 19:34:00+00:00,0.81335,0.81337,0.81325,0.81326,75
2026-08-13 19:35:00+00:00,0.81326,0.8133,0.81318,0.81329,91
2026-08-13 19:36:00+00:00,0.81329,0.81332,0.81322,0.81324,76
2026-08-13 19:37:00+00:00,0.81323,0.81329,0.81323,0.81326,62
2026-08-13 19:38:00+00:00,0.81326,0.81332,0.81325,0.81328,60
2026-08-13 19:39:00+00:00,0.81328,0.81334,0.81327,0.81333,70
2026-08-13 19:40:00+00:00,0.81333,0.81336,0.81331,0.81334,56
2026-08-13 19:41:00+00:00,0.81334,0.81337,0.81331,0.81334,72
2026-08-13 19:42:00+00:00,0.81334,0.81335,0.81327,0.81329,58
2026-08-13 19:43:00+00:00,0.81328,0.81331,0.81313,0.81314,67
2026-08-13 19:44:00+00:00,0.81314,0.81324,0.81313,0.81323,77
2026-08-13 19:45:00+00:00,0.81323,0.81325,0.81316,0.81319,82
2026-08-13 19:46:00+00:00,0.81319,0.81319,0.81313,0.81317,66
2026-08-13 19:47:00+00:00,0.81317,0.81322,0.81316,0.81317,54
2026-08-13 19:48:00+00:00,0.81317,0.81322,0.81317,0.81319,69
2026-08-13 19:49:00+00:00,0.81319,0.8132,0.81315,0.81315,58
2026-08-13 19:50:00+00:00,0.81315,0.8132,0.81313,0.81315,49
2026-08-13 19:51:00+00:00,0.81315,0.81321,0.81315,0.81317,70
2026-08-13 19:52:00+00:00,0.81317,0.8132,0.81315,0.81318,45
2026-08-13 19:53:00+00:00,0.81318,0.81321,0.81313,0.81314,50
2026-08-13 19:54:00+00:00,0.81314,0.81318,0.81313,0.81314,43
2026-08-13 19:55:00+00:00,0.81314,0.8132,0.81313,0.81313,65
2026-08-13 19:56:00+00:00,0.81313,0.81317,0.81311,0.81311,33
2026-08-13 19:57:00+00:00,0.81311,0.81315,0.8131,0.81313,66
2026-08-13 19:58:00+00:00,0.81313,0.81321,0.81313,0.81321,33
2026-08-13 19:59:00+00:00,0.81321,0.81322,0.81313,0.81315,57
2026-08-13 20:00:00+00:00,0.81315,0.81316,0.81303,0.81305,71
2026-08-13 20:01:00+00:00,0.81305,0.81305,0.81294,0.81302,109
2026-08-13 20:02:00+00:00,0.81302,0.8132,0.81295,0.81318,121
2026-08-13 20:03:00+00:00,0.81318,0.81334,0.81318,0.81328,132
2026-08-13 20:04:00+00:00,0.81328,0.81345,0.81327,0.81337,132
2026-08-13 20:05:00+00:00,0.81337,0.81349,0.81336,0.81337,77
2026-08-13 20:06:00+00:00,0.81337,0.81339,0.81327,0.81328,45
2026-08-13 20:07:00+00:00,0.81328,0.81333,0.81327,0.81328,50
2026-08-13 20:08:00+00:00,0.81328,0.81329,0.81317,0.81327,116
2026-08-13 20:09:00+00:00,0.81327,0.81336,0.81326,0.81333,90
2026-08-13 20:10:00+00:00,0.81333,0.81333,0.8132,0.81324,82
2026-08-13 20:11:00+00:00,0.81324,0.81325,0.81319,0.8132,91
2026-08-13 20:12:00+00:00,0.8132,0.81322,0.81314,0.81318,69
2026-08-13 20:13:00+00:00,0.81318,0.81329,0.81317,0.81328,56
2026-08-13 20:14:00+00:00,0.81328,0.81331,0.81327,0.81329,51
2026-08-13 20:15:00+00:00,0.81329,0.81329,0.81319,0.81321,54
2026-08-13 20:16:00+00:00,0.81321,0.81321,0.81314,0.81321,68
2026-08-13 20:17:00+00:00,0.81321,0.81323,0.81319,0.81321,20
2026-08-13 20:18:00+00:00,0.81321,0.81328,0.81321,0.81326,41
2026-08-13 20:19:00+00:00,0.81326,0.81329,0.81324,0.81328,45
2026-08-13 20:20:00+00:00,0.81328,0.81331,0.81324,0.81328,49
2026-08-13 20:21:00+00:00,0.81328,0.8133,0.81325,0.81328,43
2026-08-13 20:22:00+00:00,0.81328,0.81329,0.81325,0.81329,19
2026-08-13 20:23:00+00:00,0.81329,0.81331,0.81326,0.81328,47
2026-08-13 20:24:00+00:00,0.81328,0.81329,0.81323,0.81324,46
2026-08-13 20:25:00+00:00,0.81324,0.81332,0.81321,0.81332,64
2026-08-13 20:26:00+00:00,0.81332,0.81334,0.81329,0.81332,44
2026-08-13 20:27:00+00:00,0.81332,0.81335,0.8133,0.81332,39
2026-08-13 20:28:00+00:00,0.81332,0.81343,0.81332,0.81341,76
2026-08-13 20:29:00+00:00,0.81341,0.81342,0.81335,0.81339,48
2026-08-13 20:30:00+00:00,0.81339,0.81346,0.81336,0.81338,66
2026-08-13 20:31:00+00:00,0.81338,0.81345,0.81338,0.8134,75
2026-08-13 20:32:00+00:00,0.8134,0.81343,0.81338,0.8134,43
2026-08-13 20:33:00+00:00,0.8134,0.81352,0.8134,0.81351,27
2026-08-13 20:34:00+00:00,0.81351,0.81352,0.81346,0.81347,54
2026-08-13 20:35:00+00:00,0.81347,0.8135,0.81346,0.81348,33
2026-08-13 20:36:00+00:00,0.81348,0.81348,0.81345,0.81346,58
