symbol,tp_pips,sl_pips,trades,wr,exp_usd,pnl_usd,spread,rt_usd,tp_usd,pip_usd,bars
EURGBP,1,30,62,98.39,0.0675,4.18,4.999999999999449e-05,0.0675,0.1349,0.1349,14410
EURAUD,1,30,595,98.32,0.0338,20.13,0.0,0.0,0.0706,0.0706,14410
CNHJPY,1,30,82,97.56,0.0153,1.25,0.0,0.0,0.0627,0.0627,14410
NOKJPY,1,30,82,97.56,0.0153,1.25,0.0,0.0,0.0627,0.0627,14410
PLNJPY,2,40,121,97.52,0.0601,7.28,0.0,0.0,0.1255,0.0627,14410
EURCHF,1,30,159,97.48,0.0271,4.3,0.0,0.0,0.1229,0.1229,14410
GBPCHF,2,40,153,97.39,0.1109,16.96,0.0,0.0,0.2458,0.1229,14410
AUDSGD,1,20,454,97.36,0.0348,15.78,0.0,0.0,0.0781,0.0781,14410
GBPUSD,1,30,409,97.31,0.0166,6.8,9.999999999843467e-06,0.01,0.1,0.1,14410
GBPUSD,2,40,183,97.27,0.0852,15.6,9.999999999843467e-06,0.01,0.2,0.1,14410
GBPCAD,2,40,285,97.19,0.0589,16.78,0.0,0.0,0.1435,0.0717,14410
GBPNZD,1,30,1399,97.07,0.0054,7.5,0.0,0.0,0.0586,0.0586,14410
AUDSGD,1,30,330,96.97,0.0047,1.56,0.0,0.0,0.0781,0.0781,14410
GBPSGD,1,30,490,96.94,0.004,1.95,0.0,0.0,0.0781,0.0781,14410
GBPCAD,1,30,553,96.93,0.0034,1.86,0.0,0.0,0.0717,0.0717,14410
DKKNOK,1,30,2225,96.85,0.0003,0.58,0.0,0.0,0.0105,0.0105,14410
EURCAD,1,30,387,96.64,-0.003,-1.15,0.0,0.0,0.0717,0.0717,14410
USDINR,2,40,87,96.55,0.0577,5.02,0.016999999999995907,0.1778,0.2092,0.1046,14410
EURCAD,2,40,173,96.53,0.039,6.74,0.0,0.0,0.1435,0.0717,14410
XAGUSD,1,30,3370,96.53,-0.0038,-12.85,0.0,0.0,0.05,0.05,14410
AUDNZD,1,30,337,96.44,-0.0061,-2.05,0.0,0.0,0.0586,0.0586,14410
AUDDKK,1,30,2823,96.39,-0.0019,-5.23,0.0,0.0,0.0154,0.0154,14410
XAGEUR,1,30,2538,96.22,-0.0199,-50.48,0.0,0.0,0.1153,0.1153,14410
NOKJPY,1,20,104,96.15,0.0121,1.25,0.0,0.0,0.0627,0.0627,14410
CADCHF,1,30,130,96.15,-0.0236,-3.07,0.0,0.0,0.1229,0.1229,14410
EURAUD,2,40,232,96.12,0.0262,6.07,0.0,0.0,0.1412,0.0706,14410
CHFSGD,1,30,758,96.04,-0.0177,-13.43,0.0,0.0,0.0781,0.0781,14410
GBPCHF,1,30,302,96.03,-0.0285,-8.6,0.0,0.0,0.1229,0.1229,14410
CADJPY,1,30,772,95.98,-0.0154,-11.86,0.0,0.0,0.0627,0.0627,14410
EURNZD,1,30,888,95.95,-0.015,-13.36,0.0,0.0,0.0586,0.0586,14410
USDCAD,2,40,121,95.87,0.019,2.3,1.999999999990898e-05,0.0143,0.1435,0.0717,14410
DKKNOK,2,40,1126,95.83,0.0026,2.93,0.0,0.0,0.0211,0.0105,14410
GBPAUD,1,30,696,95.83,-0.0206,-14.34,0.0,0.0,0.0706,0.0706,14410
PLNJPY,1,30,239,95.82,-0.0186,-4.45,0.0,0.0,0.0627,0.0627,14410
EURAUD,1,20,734,95.78,0.008,5.86,0.0,0.0,0.0706,0.0706,14410
AUDPLN,1,30,1588,95.78,-0.0082,-13.09,0.0,0.0,0.0268,0.0268,14410
DKKSEK,1,30,773,95.73,-0.0034,-2.61,0.0,0.0,0.0104,0.0104,14410
GBPNZD,1,20,1818,95.65,0.0051,9.31,0.0,0.0,0.0586,0.0586,14410
HKDJPY,1,30,69,95.65,-0.0218,-1.51,0.0,0.0,0.0627,0.0627,14410
AUDCAD,1,30,365,95.62,-0.0257,-9.4,0.0,0.0,0.0717,0.0717,14410
EURCAD,1,20,588,95.58,0.0051,3.01,0.0,0.0,0.0717,0.0717,14410
PLNJPY,1,20,315,95.56,0.0042,1.32,0.0,0.0,0.0627,0.0627,14410
AUDUSD,1,30,201,95.52,-0.0388,-7.8,2.0000000000020002e-05,0.02,0.1,0.1,14410
GBPCAD,2,30,328,95.43,0.0385,12.62,0.0,0.0,0.1435,0.0717,14410
GBPUSD,1,20,543,95.4,0.0033,1.8,9.999999999843467e-06,0.01,0.1,0.1,14410
AUDCAD,2,40,130,95.38,0.0044,0.57,0.0,0.0,0.1435,0.0717,14410
AUDNZD,1,20,433,95.38,0.0018,0.76,0.0,0.0,0.0586,0.0586,14410
EURGBP,1,20,86,95.35,0.0031,0.27,4.999999999999449e-05,0.0675,0.1349,0.1349,14410
GBPAUD,2,40,322,95.34,0.0031,0.99,0.0,0.0,0.1412,0.0706,14410
EURUSD,1,30,252,95.24,-0.0476,-12.0,9.999999999843467e-06,0.01,0.1,0.1,14410
EURAUD,2,30,272,95.22,0.0332,9.04,0.0,0.0,0.1412,0.0706,14410
