lookback_days,trades,wr,pnl,dd,exp_r,atr_sl_mult,atr_tp_mult,adx_range_max,rsi_oversold,rsi_overbought,session_start_utc,session_end_utc,bb_period,bb_std
45,9,100.0,35.87,-0.0,0.167,3.0,0.5,22,35,70,7,24,30,1.8
45,9,100.0,28.35,-0.0,0.15,3.0,0.45,22,35,70,7,24,30,1.8
45,9,100.0,28.35,-0.0,0.15,3.0,0.45,22,35,70,0,24,30,1.8
45,8,100.0,32.18,-0.0,0.167,3.0,0.5,22,35,70,7,21,30,1.8
45,8,100.0,25.5,-0.0,0.15,3.0,0.45,22,35,70,7,21,30,1.8
45,8,100.0,25.5,-0.0,0.15,3.0,0.45,22,35,70,0,21,30,1.8
45,7,100.0,28.0,-0.0,0.167,3.0,0.5,20,35,70,7,21,30,1.8
45,7,100.0,28.0,-0.0,0.167,3.0,0.5,20,35,70,7,24,30,1.8
45,7,100.0,28.0,-0.0,0.167,3.0,0.5,20,35,70,0,21,30,1.8
45,7,100.0,28.0,-0.0,0.167,3.0,0.5,20,35,70,0,24,30,1.8
45,7,100.0,22.16,-0.0,0.15,3.0,0.45,20,35,70,7,21,30,1.8
45,7,100.0,22.16,-0.0,0.15,3.0,0.45,20,35,70,7,24,30,1.8
45,7,100.0,22.16,-0.0,0.15,3.0,0.45,20,35,70,0,21,30,1.8
45,7,100.0,22.16,-0.0,0.15,3.0,0.45,20,35,70,0,24,30,1.8
45,7,100.0,20.97,-0.0,0.15,3.0,0.45,22,35,75,7,24,30,1.8
45,7,100.0,20.97,-0.0,0.15,3.0,0.45,22,35,75,0,24,30,1.8
45,7,100.0,15.13,-0.0,0.133,3.0,0.4,22,35,75,7,24,30,1.8
45,7,100.0,15.13,-0.0,0.133,3.0,0.4,22,35,75,0,24,30,1.8
45,7,100.0,9.29,-0.0,0.117,3.0,0.35,22,35,75,7,24,30,1.8
45,7,100.0,9.29,-0.0,0.117,3.0,0.35,22,35,75,0,24,30,1.8
45,6,100.0,23.37,-0.0,0.167,3.0,0.5,18,35,70,7,21,30,1.8
45,6,100.0,23.37,-0.0,0.167,3.0,0.5,18,35,70,7,24,30,1.8
45,6,100.0,23.37,-0.0,0.167,3.0,0.5,18,35,70,0,21,30,1.8
45,6,100.0,23.37,-0.0,0.167,3.0,0.5,18,35,70,0,24,30,1.8
45,6,100.0,18.36,-0.0,0.15,3.0,0.45,18,35,70,7,21,30,1.8
45,6,100.0,18.36,-0.0,0.15,3.0,0.45,18,35,70,7,24,30,1.8
45,6,100.0,18.36,-0.0,0.15,3.0,0.45,18,35,70,0,21,30,1.8
45,6,100.0,18.36,-0.0,0.15,3.0,0.45,18,35,70,0,24,30,1.8
45,6,100.0,18.12,-0.0,0.15,3.0,0.45,22,35,75,7,21,30,1.8
45,6,100.0,18.12,-0.0,0.15,3.0,0.45,22,35,75,0,21,30,1.8
45,6,100.0,17.17,-0.0,0.15,3.0,0.45,22,35,80,7,24,30,1.8
45,6,100.0,17.17,-0.0,0.15,3.0,0.45,22,35,80,0,24,30,1.8
45,6,100.0,17.17,-0.0,0.15,3.0,0.45,22,35,85,7,24,30,1.8
45,6,100.0,17.17,-0.0,0.15,3.0,0.45,22,35,85,0,24,30,1.8
45,6,100.0,13.35,-0.0,0.133,3.0,0.4,18,35,70,7,21,30,1.8
45,6,100.0,13.35,-0.0,0.133,3.0,0.4,18,35,70,7,24,30,1.8
45,6,100.0,13.35,-0.0,0.133,3.0,0.4,18,35,70,0,21,30,1.8
45,6,100.0,13.35,-0.0,0.133,3.0,0.4,18,35,70,0,24,30,1.8
45,6,100.0,13.12,-0.0,0.133,3.0,0.4,22,35,75,7,21,30,1.8
45,6,100.0,13.12,-0.0,0.133,3.0,0.4,22,35,75,0,21,30,1.8
45,6,100.0,12.17,-0.0,0.133,3.0,0.4,22,35,80,7,24,30,1.8
45,6,100.0,12.17,-0.0,0.133,3.0,0.4,22,35,80,0,24,30,1.8
45,6,100.0,12.17,-0.0,0.133,3.0,0.4,22,35,85,7,24,30,1.8
45,6,100.0,12.17,-0.0,0.133,3.0,0.4,22,35,85,0,24,30,1.8
45,6,100.0,8.35,-0.0,0.117,3.0,0.35,18,35,70,7,21,30,1.8
45,6,100.0,8.35,-0.0,0.117,3.0,0.35,18,35,70,7,24,30,1.8
45,6,100.0,8.35,-0.0,0.117,3.0,0.35,18,35,70,0,21,30,1.8
45,6,100.0,8.35,-0.0,0.117,3.0,0.35,18,35,70,0,24,30,1.8
45,6,100.0,8.11,-0.0,0.117,3.0,0.35,22,35,75,7,21,30,1.8
45,6,100.0,8.11,-0.0,0.117,3.0,0.35,22,35,75,0,21,30,1.8
45,6,100.0,7.16,-0.0,0.117,3.0,0.35,22,35,80,7,24,30,1.8
45,6,100.0,7.16,-0.0,0.117,3.0,0.35,22,35,80,0,24,30,1.8
45,6,100.0,7.16,-0.0,0.117,3.0,0.35,22,35,85,7,24,30,1.8
45,6,100.0,7.16,-0.0,0.117,3.0,0.35,22,35,85,0,24,30,1.8
45,6,100.0,4.0,-0.0,0.1,3.0,0.3,22,35,75,7,24,30,1.8
45,6,100.0,4.0,-0.0,0.1,3.0,0.3,22,35,75,0,24,30,1.8
45,5,100.0,19.79,-0.0,0.167,3.0,0.5,22,35,70,7,17,30,1.8
45,5,100.0,18.96,-0.0,0.167,3.0,0.5,18,35,75,7,21,30,1.8
45,5,100.0,18.96,-0.0,0.167,3.0,0.5,18,35,75,7,24,30,1.8
45,5,100.0,18.96,-0.0,0.167,3.0,0.5,18,35,75,0,21,30,1.8
45,5,100.0,18.96,-0.0,0.167,3.0,0.5,18,35,75,0,24,30,1.8
45,5,100.0,18.96,-0.0,0.167,3.0,0.5,20,35,75,7,21,30,1.8
45,5,100.0,18.96,-0.0,0.167,3.0,0.5,20,35,75,7,24,30,1.8
45,5,100.0,18.96,-0.0,0.167,3.0,0.5,20,35,75,0,21,30,1.8
45,5,100.0,18.96,-0.0,0.167,3.0,0.5,20,35,75,0,24,30,1.8
45,5,100.0,18.74,-0.0,0.167,3.0,0.5,16,35,70,7,21,30,1.8
45,5,100.0,18.74,-0.0,0.167,3.0,0.5,16,35,70,7,24,30,1.8
45,5,100.0,18.74,-0.0,0.167,3.0,0.5,16,35,70,0,21,30,1.8
45,5,100.0,18.74,-0.0,0.167,3.0,0.5,16,35,70,0,24,30,1.8
45,5,100.0,15.62,-0.0,0.15,3.0,0.45,22,35,70,7,17,30,1.8
45,5,100.0,15.62,-0.0,0.15,3.0,0.45,22,35,70,0,17,30,1.8
45,5,100.0,14.79,-0.0,0.15,3.0,0.45,18,35,75,7,21,30,1.8
45,5,100.0,14.79,-0.0,0.15,3.0,0.45,18,35,75,7,24,30,1.8
45,5,100.0,14.79,-0.0,0.15,3.0,0.45,18,35,75,0,21,30,1.8
45,5,100.0,14.79,-0.0,0.15,3.0,0.45,18,35,75,0,24,30,1.8
45,5,100.0,14.79,-0.0,0.15,3.0,0.45,20,35,75,7,21,30,1.8
45,5,100.0,14.79,-0.0,0.15,3.0,0.45,20,35,75,7,24,30,1.8
45,5,100.0,14.79,-0.0,0.15,3.0,0.45,20,35,75,0,21,30,1.8
45,5,100.0,14.79,-0.0,0.15,3.0,0.45,20,35,75,0,24,30,1.8
45,5,100.0,14.57,-0.0,0.15,3.0,0.45,16,35,70,7,21,30,1.8
45,5,100.0,14.57,-0.0,0.15,3.0,0.45,16,35,70,7,24,30,1.8
45,5,100.0,14.57,-0.0,0.15,3.0,0.45,16,35,70,0,21,30,1.8
45,5,100.0,14.57,-0.0,0.15,3.0,0.45,16,35,70,0,24,30,1.8
45,5,100.0,14.33,-0.0,0.15,3.0,0.45,22,35,80,7,21,30,1.8
45,5,100.0,14.33,-0.0,0.15,3.0,0.45,22,35,80,0,21,30,1.8
45,5,100.0,14.33,-0.0,0.15,3.0,0.45,22,35,85,7,21,30,1.8
45,5,100.0,14.33,-0.0,0.15,3.0,0.45,22,35,85,0,21,30,1.8
45,5,100.0,11.45,-0.0,0.133,3.0,0.4,22,35,70,7,17,30,1.8
45,5,100.0,11.45,-0.0,0.133,3.0,0.4,22,35,70,0,17,30,1.8
45,5,100.0,10.62,-0.0,0.133,3.0,0.4,18,35,75,7,21,30,1.8
45,5,100.0,10.62,-0.0,0.133,3.0,0.4,18,35,75,7,24,30,1.8
45,5,100.0,10.62,-0.0,0.133,3.0,0.4,18,35,75,0,21,30,1.8
45,5,100.0,10.62,-0.0,0.133,3.0,0.4,18,35,75,0,24,30,1.8
45,5,100.0,10.62,-0.0,0.133,3.0,0.4,20,35,75,7,21,30,1.8
45,5,100.0,10.62,-0.0,0.133,3.0,0.4,20,35,75,7,24,30,1.8
45,5,100.0,10.62,-0.0,0.133,3.0,0.4,20,35,75,0,21,30,1.8
45,5,100.0,10.62,-0.0,0.133,3.0,0.4,20,35,75,0,24,30,1.8
45,5,100.0,10.39,-0.0,0.133,3.0,0.4,16,35,70,7,21,30,1.8
45,5,100.0,10.39,-0.0,0.133,3.0,0.4,16,35,70,7,24,30,1.8
45,5,100.0,10.39,-0.0,0.133,3.0,0.4,16,35,70,0,21,30,1.8
45,5,100.0,10.39,-0.0,0.133,3.0,0.4,16,35,70,0,24,30,1.8
45,5,100.0,10.16,-0.0,0.133,3.0,0.4,22,35,80,7,21,30,1.8
45,5,100.0,10.16,-0.0,0.133,3.0,0.4,22,35,80,0,21,30,1.8
45,5,100.0,10.16,-0.0,0.133,3.0,0.4,22,35,85,7,21,30,1.8
45,5,100.0,10.16,-0.0,0.133,3.0,0.4,22,35,85,0,21,30,1.8
45,5,100.0,7.28,-0.0,0.117,3.0,0.35,22,35,70,7,17,30,1.8
45,5,100.0,7.28,-0.0,0.117,3.0,0.35,22,35,70,0,17,30,1.8
45,5,100.0,6.45,-0.0,0.117,3.0,0.35,18,35,75,7,21,30,1.8
45,5,100.0,6.45,-0.0,0.117,3.0,0.35,18,35,75,7,24,30,1.8
45,5,100.0,6.45,-0.0,0.117,3.0,0.35,18,35,75,0,21,30,1.8
45,5,100.0,6.45,-0.0,0.117,3.0,0.35,18,35,75,0,24,30,1.8
45,5,100.0,6.45,-0.0,0.117,3.0,0.35,20,35,75,7,21,30,1.8
45,5,100.0,6.45,-0.0,0.117,3.0,0.35,20,35,75,7,24,30,1.8
45,5,100.0,6.45,-0.0,0.117,3.0,0.35,20,35,75,0,21,30,1.8
