algo,tf,risk,sl,tp,cb,adx_max,os,ob,p_all,p_act,cov,mean,mean_a,best,worst
hw_range,5m,5.0,3.0,0.6,1.0,99,30,70,0.18787878787878787,0.7848101265822784,0.23939393939393938,-0.2392128953965135,-0.9992437402639172,0.7032851811558487,-5.995052889154508
rsi_cross,5m,5.0,3.5,0.5,1.0,25,35,65,0.23030303030303031,0.7835051546391752,0.29393939393939394,-0.16955856500847147,-0.5768487263174803,0.45776159492753266,-5.696677268655691
rsi_cross,5m,5.0,3.5,0.5,1.0,40,35,65,0.23030303030303031,0.7835051546391752,0.29393939393939394,-0.16955856500847147,-0.5768487263174803,0.45776159492753266,-5.696677268655691
rsi_cross,5m,5.0,3.5,0.5,1.0,99,35,65,0.23030303030303031,0.7835051546391752,0.29393939393939394,-0.16955856500847147,-0.5768487263174803,0.45776159492753266,-5.696677268655691
hw_range,5m,5.0,2.5,0.6,1.0,99,30,70,0.18181818181818182,0.759493670886076,0.23939393939393938,-0.28181787933909436,-1.177213926353179,0.8439422173870383,-6.194063466985426
hw_range,5m,5.0,4.0,0.7,1.0,99,30,70,0.20303030303030303,0.7528089887640449,0.2696969696969697,-0.2515246571448985,-0.9326195152563653,0.6524638858668794,-5.853779857853738
hw_range,5m,5.0,5.0,0.8,1.0,99,30,70,0.22424242424242424,0.7474747474747475,0.3,-0.203296556850202,-0.6776551895006734,0.5611869186973024,-5.7732255449800505
rsi_cross,5m,5.0,3.0,0.6,1.0,25,35,65,0.2878787878787879,0.7364341085271318,0.39090909090909093,-0.29046653066324085,-0.743053915650151,0.7007218607488142,-5.98402162440685
rsi_cross,5m,5.0,3.0,0.6,1.0,40,35,65,0.2878787878787879,0.7364341085271318,0.39090909090909093,-0.29046653066324085,-0.743053915650151,0.7007218607488142,-5.98402162440685
rsi_cross,5m,5.0,3.0,0.6,1.0,99,35,65,0.2878787878787879,0.7364341085271318,0.39090909090909093,-0.29046653066324085,-0.743053915650151,0.7007218607488142,-5.98402162440685
hw_range,5m,5.0,3.5,0.5,1.0,99,35,65,0.18484848484848485,0.7349397590361446,0.2515151515151515,-0.22019294624934518,-0.8754659308708905,0.39244633153177233,-5.710975652886503
hw_range,5m,5.0,4.0,0.7,1.5,99,35,65,0.1484848484848485,0.7313432835820896,0.20303030303030303,-0.12530762091126568,-0.6171867895629504,0.5933905400902972,-5.575311334189337
