rank,name,algo,timeframe,p_profit,mean_pnl,median_pnl,best,worst,active_frac,avg_trades,p_risk_percent,p_atr_sl_mult,p_atr_tp_mult,p_rsi_oversold,p_rsi_overbought,p_adx_range_max,p_adx_min,p_max_trades_per_session,p_cost_buffer,p_max_hold_bars,p_spread_bps,p_slippage_bps,p_session_start_utc,p_session_end_utc
1,breakout_adx|5m|r5.0|mt1,breakout_adx,5m,26.87,-0.64,0.0,2.65,-6.85,50.23,1.0,5.0,2.5,1.5,30,70,22,25,1,1.5,24,2.0,1.0,0,24
2,breakout_adx|5m|r8.0|mt1,breakout_adx,5m,26.87,-1.02,0.0,4.24,-10.95,50.23,1.0,8.0,2.5,1.5,30,70,22,25,1,1.5,24,2.0,1.0,0,24
3,breakout_adx|5m|r12.0|mt1,breakout_adx,5m,26.87,-1.53,0.0,6.35,-16.43,50.23,1.0,12.0,2.5,1.5,30,70,22,25,1,1.5,24,2.0,1.0,0,24
4,breakout_adx|5m|r5.0|mt1,breakout_adx,5m,24.73,-0.57,0.0,2.05,-6.59,44.27,1.0,5.0,2.0,1.2,30,70,22,25,1,1.5,24,2.0,1.0,0,24
5,breakout_adx|5m|r8.0|mt1,breakout_adx,5m,24.73,-0.91,0.0,3.28,-10.54,44.27,1.0,8.0,2.0,1.2,30,70,22,25,1,1.5,24,2.0,1.0,0,24
6,breakout_adx|5m|r12.0|mt1,breakout_adx,5m,24.73,-1.36,0.0,4.91,-15.81,44.27,1.0,12.0,2.0,1.2,30,70,22,25,1,1.5,24,2.0,1.0,0,24
7,breakout_adx|5m|r5.0|mt1,breakout_adx,5m,23.36,-0.79,0.0,3.92,-7.88,53.89,1.0,5.0,1.8,2.2,30,70,22,25,1,1.5,24,2.0,1.0,0,24
8,breakout_adx|5m|r8.0|mt1,breakout_adx,5m,23.36,-1.26,0.0,6.27,-12.6,53.89,1.0,8.0,1.8,2.2,30,70,22,25,1,1.5,24,2.0,1.0,0,24
9,breakout_adx|5m|r12.0|mt1,breakout_adx,5m,23.36,-1.89,0.0,9.4,-18.91,53.89,1.0,12.0,1.8,2.2,30,70,22,25,1,1.5,24,2.0,1.0,0,24
10,squeeze_bo|5m|r5.0|mt1,squeeze_bo,5m,23.05,-0.64,0.0,2.48,-6.93,45.19,1.0,5.0,2.5,1.5,30,70,22,25,1,1.5,24,2.0,1.0,0,24
11,squeeze_bo|5m|r8.0|mt1,squeeze_bo,5m,23.05,-1.02,0.0,3.97,-11.08,45.19,1.0,8.0,2.5,1.5,30,70,22,25,1,1.5,24,2.0,1.0,0,24
12,squeeze_bo|5m|r12.0|mt1,squeeze_bo,5m,23.05,-1.53,0.0,5.95,-16.63,45.19,1.0,12.0,2.5,1.5,30,70,22,25,1,1.5,24,2.0,1.0,0,24
13,breakout_adx|5m|r5.0|mt1,breakout_adx,5m,22.9,-0.77,0.0,4.52,-8.22,54.66,1.0,5.0,2.0,2.5,30,70,22,25,1,1.5,24,2.0,1.0,0,24
14,breakout_adx|5m|r8.0|mt1,breakout_adx,5m,22.9,-1.24,0.0,7.23,-13.16,54.66,1.0,8.0,2.0,2.5,30,70,22,25,1,1.5,24,2.0,1.0,0,24
15,breakout_adx|5m|r12.0|mt1,breakout_adx,5m,22.9,-1.85,0.0,10.84,-19.74,54.66,1.0,12.0,2.0,2.5,30,70,22,25,1,1.5,24,2.0,1.0,0,24
16,breakout_adx|5m|r5.0|mt1,breakout_adx,5m,21.68,-0.63,0.0,4.52,-6.85,50.23,1.0,5.0,2.0,2.5,30,70,22,25,1,2.5,24,2.0,1.0,0,24
17,breakout_adx|5m|r8.0|mt1,breakout_adx,5m,21.68,-1.01,0.0,7.23,-10.95,50.23,1.0,8.0,2.0,2.5,30,70,22,25,1,2.5,24,2.0,1.0,0,24
18,breakout_adx|5m|r12.0|mt1,breakout_adx,5m,21.68,-1.51,0.0,10.84,-16.43,50.23,1.0,12.0,2.0,2.5,30,70,22,25,1,2.5,24,2.0,1.0,0,24
19,breakout_adx|5m|r5.0|mt1,breakout_adx,5m,21.37,-0.61,0.0,3.92,-6.74,48.24,1.0,5.0,1.8,2.2,30,70,22,25,1,2.5,24,2.0,1.0,0,24
20,breakout_adx|5m|r8.0|mt1,breakout_adx,5m,21.37,-0.98,0.0,6.27,-10.78,48.24,1.0,8.0,1.8,2.2,30,70,22,25,1,2.5,24,2.0,1.0,0,24
21,breakout_adx|5m|r12.0|mt1,breakout_adx,5m,21.37,-1.47,0.0,9.4,-16.17,48.24,1.0,12.0,1.8,2.2,30,70,22,25,1,2.5,24,2.0,1.0,0,24
22,squeeze_bo|5m|r5.0|mt2,squeeze_bo,5m,20.46,-0.76,0.0,4.73,-12.78,45.19,1.2,5.0,2.5,1.5,30,70,22,25,2,1.5,24,2.0,1.0,0,24
23,squeeze_bo|5m|r8.0|mt2,squeeze_bo,5m,20.46,-1.22,0.0,7.62,-20.03,45.19,1.2,8.0,2.5,1.5,30,70,22,25,2,1.5,24,2.0,1.0,0,24
24,squeeze_bo|5m|r12.0|mt2,squeeze_bo,5m,20.46,-1.83,0.0,11.53,-29.21,45.19,1.2,12.0,2.5,1.5,30,70,22,25,2,1.5,24,2.0,1.0,0,24
25,squeeze_bo|5m|r5.0|mt1,squeeze_bo,5m,19.85,-0.66,0.0,2.35,-6.98,38.32,1.0,5.0,2.0,1.2,30,70,22,25,1,1.5,24,2.0,1.0,0,24
