timeframe,adx_min,regime_mode,z_atr,rsi_edge,distance_mode,sl_value,tp_value,score,dev_start_utc,dev_end_utc,dev_span_days,dev_trades,dev_trades_per_day,dev_win_rate,dev_win_ci_low,dev_win_ci_high,dev_expectancy_r,dev_profit_factor,dev_max_drawdown_pct,dev_start_equity,dev_end_equity,dev_net_pnl,dev_profit_per_day,dev_halt_reason,dev_ambiguous_exits,dev_skipped_entries,dev_per_symbol_pnl,val_start_utc,val_end_utc,val_span_days,val_trades,val_trades_per_day,val_win_rate,val_win_ci_low,val_win_ci_high,val_expectancy_r,val_profit_factor,val_max_drawdown_pct,val_start_equity,val_end_equity,val_net_pnl,val_profit_per_day,val_halt_reason,val_ambiguous_exits,val_skipped_entries,val_per_symbol_pnl
5m,12,range,0.25,40,atr,2.0,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,39,0.7897068129086691,79.48717948717949,64.46572703687139,89.22040980208888,-0.021616426470132566,0.7337742883679057,2.9534320804690224,100.0,97.53524224911489,-2.4647577508851435,-0.04990861507803708,max_positions,0,"{""gross_leverage"": 1, ""max_positions"": 26, ""sized_down"": 11}","{""AUDUSD=X"": -0.143417, ""EURUSD=X"": 0.072755, ""GBPUSD=X"": 0.10792, ""NZDUSD=X"": -2.502016}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,3,0.19018269865727494,0.0,0.0,56.15060804490177,-0.7559547165979689,0.0,4.0904469454288375,100.0,95.90955305457116,-4.090446945428848,-0.2593107462653551,none,0,{},"{""GBPUSD=X"": -2.458497, ""NZDUSD=X"": -1.63195}"
5m,12,range,0.25,40,atr,2.0,1.0,-131.3298310389003,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,84,1.700906981649441,61.904761904761905,51.21524397704628,71.55301161028366,-0.21307508241678103,0.36649221545868294,26.773025614980593,100.0,73.69413560595036,-26.3058643940497,-0.5326646238828878,max_positions,0,"{""gross_leverage"": 29, ""max_positions"": 38, ""sized_down"": 52}","{""AUDUSD=X"": -13.494709, ""EURUSD=X"": -4.54796, ""GBPUSD=X"": -0.246798, ""NZDUSD=X"": -8.016396}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,25,1.5848558221439577,60.0,40.739127785127344,76.59694233580909,-0.2920079128650103,0.2652976556048641,13.483206156766345,100.0,87.9867908011167,-12.013209198883331,-0.7615681816593439,none,0,"{""gross_leverage"": 6, ""sized_down"": 14}","{""AUDUSD=X"": 1.213837, ""EURUSD=X"": -3.064788, ""GBPUSD=X"": -5.94296, ""NZDUSD=X"": -4.219298}"
5m,12,range,0.25,40,atr,2.0,1.5,-134.5772408003397,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,90,1.822400337481544,48.888888888888886,38.82031497910542,59.048434061831635,-0.3170085174102559,0.38637584536482006,30.104291124819454,100.0,70.36260832565353,-29.637391674346443,-0.600124362104463,max_drawdown 30.10%,0,"{""gross_leverage"": 21, ""max_drawdown"": 18269, ""max_positions"": 75, ""sized_down"": 79}","{""AUDUSD=X"": -13.704066, ""EURUSD=X"": -4.850929, ""GBPUSD=X"": -8.509647, ""NZDUSD=X"": -2.572751}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,60,3.8036539731454986,51.66666666666667,39.30759485084357,63.82515871422999,-0.2937065760523694,0.4265994884699505,18.817958789300864,100.0,82.54270827361586,-17.457291726384145,-1.1066916172570183,max_positions,0,"{""gross_leverage"": 9, ""max_positions"": 16, ""sized_down"": 50}","{""AUDUSD=X"": -3.244277, ""EURUSD=X"": -4.86042, ""GBPUSD=X"": -7.855249, ""NZDUSD=X"": -1.497347}"
5m,12,range,0.25,40,atr,5.0,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,26,0.5264712086057795,84.61538461538461,66.46841558168643,93.85006600107053,0.0430665353741163,4.0331481376964575,0.22835132473204395,100.0,101.54934785297937,1.549347852979356,0.03137257833495427,max_positions,0,"{""max_positions"": 20, ""min_units"": 20}","{""AUDUSD=X"": 0.67208, ""NZDUSD=X"": 0.877268}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,2,0.12678846577151662,0.0,0.0,65.76280471103807,-0.20497869688260797,0.0,0.5439832484722018,100.0,99.4560167515278,-0.5439832484722138,-0.03448540073959885,none,0,"{""min_units"": 1}","{""NZDUSD=X"": -0.543983}"
5m,12,range,0.25,40,atr,5.0,1.0,-108.08745265779854,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,71,1.4376713773465515,61.97183098591549,50.341642238898274,72.37299774741948,-0.10052835086025785,0.35558099991323855,10.585096014699797,100.0,89.66114616479233,-10.338853835207646,-0.20935034131616412,max_positions,0,"{""max_positions"": 58, ""min_units"": 43}","{""AUDUSD=X"": -2.961272, ""EURUSD=X"": -2.2546, ""GBPUSD=X"": -1.736065, ""NZDUSD=X"": -3.386917}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,20,1.2678846577151661,60.0,38.65779423152061,78.11960325858074,-0.09577863617137852,0.2842947466489807,4.289952795185586,100.0,96.53340087056138,-3.466599129438622,-0.219762392533199,max_positions,0,"{""max_positions"": 11, ""min_units"": 5}","{""AUDUSD=X"": 0.423642, ""EURUSD=X"": -0.916817, ""GBPUSD=X"": 0.394453, ""NZDUSD=X"": -3.367877}"
5m,12,range,0.25,40,atr,5.0,1.5,-114.64360186331689,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,143,2.895591647331787,52.44755244755245,44.305699976545725,60.46134151578343,-0.13268990118953658,0.3837772577793575,25.207876639847065,100.0,75.19074012654087,-24.80925987345914,-0.5023600396228808,max_positions,0,"{""gross_leverage"": 3, ""max_positions"": 145, ""min_units"": 59, ""sized_down"": 5}","{""AUDUSD=X"": -5.901357, ""EURUSD=X"": -5.775621, ""GBPUSD=X"": -7.688219, ""NZDUSD=X"": -5.444063}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,55,3.486682808716707,54.54545454545454,41.52246134836049,66.9749282535538,-0.11871064500770145,0.37412820922422857,11.017329373796724,100.0,89.5581328255793,-10.441867174420675,-0.6619541594173793,max_positions,0,"{""max_positions"": 37, ""min_units"": 6}","{""AUDUSD=X"": -2.519783, ""EURUSD=X"": -1.441313, ""GBPUSD=X"": -3.39169, ""NZDUSD=X"": -3.089082}"
5m,12,range,0.25,40,atr,10.0,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,100.0,100.0,0.0,0.0,none,0,"{""min_units"": 49}",{},2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,100.0,100.0,0.0,0.0,none,0,"{""min_units"": 4}",{}
5m,12,range,0.25,40,atr,10.0,1.0,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,23,0.4657245306897279,56.52173913043478,36.81104930501695,74.36563166780135,-0.07337211829258226,0.2427579094921647,3.298542438745386,100.0,96.98819170355831,-3.0118082964416977,-0.06098578284294516,max_positions,0,"{""max_positions"": 12, ""min_units"": 106}","{""AUDUSD=X"": -0.785456, ""NZDUSD=X"": -2.226352}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,6,0.3803653973145499,50.0,18.761280689940868,81.23871931005912,-0.09829134357486992,0.18858725598677348,1.1372846775364809,100.0,99.00439672521179,-0.9956032747882071,-0.06311550586374723,none,0,"{""min_units"": 24}","{""AUDUSD=X"": 0.071234, ""NZDUSD=X"": -1.066838}"
5m,12,range,0.25,40,atr,10.0,1.5,-106.40499380981856,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,65,1.3161780215144485,50.76923076923077,38.91624609220664,62.53636395753072,-0.08590340713494282,0.30304038157905544,8.262972983632977,100.0,91.73702701636702,-8.26297298363296,-0.16731605282192874,max_positions,0,"{""max_positions"": 46, ""min_units"": 177}","{""AUDUSD=X"": -3.361786, ""NZDUSD=X"": -4.901187}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,26,1.648250055029716,57.692307692307686,38.94829692111983,74.4558100972706,-0.063575787821473,0.3805704381512954,2.8750947627202024,100.0,97.35017089128492,-2.6498291087150574,-0.16798388362534372,max_positions,0,"{""max_positions"": 14, ""min_units"": 48}","{""AUDUSD=X"": -1.692169, ""NZDUSD=X"": -0.95766}"
5m,12,range,0.25,45,atr,2.0,0.75,-1000000000.0,2026-05-18 23:00:00+00:00,2026-07-07 08:15:00+00:00,49.385416666666664,94,1.9033959080362794,74.46808510638297,64.81399091477772,82.20077581021451,-0.11447427265140955,0.44789009880717867,18.085394624129805,100.0,82.44641104919711,-17.553588950802922,-0.355440738088395,max_positions,0,"{""gross_leverage"": 2, ""max_positions"": 50, ""sized_down"": 13}","{""AUDUSD=X"": -4.395107, ""EURUSD=X"": -5.834322, ""GBPUSD=X"": 0.10225, ""NZDUSD=X"": -7.42641}",2026-07-07 08:15:00+00:00,2026-07-23 02:50:00+00:00,15.774305555555555,9,0.5705480959718248,55.55555555555556,26.66473457440297,81.1224570528086,-0.25944874418874475,0.21209050311276656,4.868234273164375,100.0,95.60941081983718,-4.390589180162816,-0.2783380329929322,max_positions,0,"{""gross_leverage"": 1, ""max_positions"": 10, ""sized_down"": 2}","{""AUDUSD=X"": 0.248146, ""GBPUSD=X"": -2.458497, ""NZDUSD=X"": -2.180238}"
